record_id,name,type,vendor,cost,frequency,licenses,activeUsers,department,status
1,Slack,saas,Slack Technologies,50000,monthly,100,45,Engineering,active
2,Zoom,saas,Zoom Video,30000,monthly,80,75,All,active
3,AWS,cloud,Amazon,200000,monthly,0,0,Engineering,active
4,Salesforce,saas,Salesforce,120000,monthly,50,48,Sales,active
5,Jira,saas,Atlassian,40000,monthly,100,60,Engineering,active
6,Notion,saas,Notion Labs,15000,monthly,60,30,Product,active
7,GitHub,saas,GitHub,25000,monthly,70,65,Engineering,active
8,Azure,cloud,Microsoft,180000,monthly,0,0,IT,active
9,Google Workspace,saas,Google,60000,monthly,120,110,All,active
10,Dropbox,saas,Dropbox,20000,monthly,50,40,Marketing,active
